inst,actual,predicted,error,1,2,3
14,2:Iris-versicolor,2:Iris-versicolor,,0,*0.856,0.144
15,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
1,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
2,3:Iris-virginica,3:Iris-virginica,,0,0.084,*0.916
3,3:Iris-virginica,3:Iris-virginica,,0,0.084,*0.916
4,3:Iris-virginica,3:Iris-virginica,,0,0.005,*0.995
5,3:Iris-virginica,3:Iris-virginica,,0,0.078,*0.922
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
12,2:Iris-versicolor,2:Iris-versicolor,,0,*0.958,0.042
13,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
14,2:Iris-versicolor,2:Iris-versicolor,,0,*0.954,0.046
15,2:Iris-versicolor,2:Iris-versicolor,,0,*0.998,0.002
1,3:Iris-virginica,3:Iris-virginica,,0,0.005,*0.995
2,3:Iris-virginica,3:Iris-virginica,,0,0.005,*0.995
3,3:Iris-virginica,3:Iris-virginica,,0,0.133,*0.867
4,3:Iris-virginica,3:Iris-virginica,,0,0.01,*0.99
5,3:Iris-virginica,3:Iris-virginica,,0,0.004,*0.996
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*0.971,0.029
12,2:Iris-versicolor,2:Iris-versicolor,,0,*0.992,0.008
13,2:Iris-versicolor,3:Iris-virginica,+,0,0.312,*0.688
14,2:Iris-versicolor,2:Iris-versicolor,,0,*1,0
15,2:Iris-versicolor,2:Iris-versicolor,,0,*0.998,0.002
1,3:Iris-virginica,3:Iris-virginica,,0,0.207,*0.793
2,3:Iris-virginica,3:Iris-virginica,,0,0.03,*0.97
3,3:Iris-virginica,3:Iris-virginica,,0,0.003,*0.997
4,3:Iris-virginica,3:Iris-virginica,,0,0.012,*0.988
5,3:Iris-virginica,2:Iris-versicolor,+,0,*0.754,0.246
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
12,2:Iris-versicolor,2:Iris-versicolor,,0,*1,0
13,2:Iris-versicolor,2:Iris-versicolor,,0,*0.985,0.015
14,2:Iris-versicolor,2:Iris-versicolor,,0,*0.943,0.057
15,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
1,3:Iris-virginica,3:Iris-virginica,,0,0.049,*0.951
2,3:Iris-virginica,2:Iris-versicolor,+,0,*0.843,0.157
3,3:Iris-virginica,3:Iris-virginica,,0,0.016,*0.984
4,3:Iris-virginica,3:Iris-virginica,,0,0.002,*0.998
5,3:Iris-virginica,3:Iris-virginica,,0,0.039,*0.961
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*1,0
12,2:Iris-versicolor,2:Iris-versicolor,,0,*0.998,0.002
13,2:Iris-versicolor,2:Iris-versicolor,,0,*0.942,0.058
14,2:Iris-versicolor,2:Iris-versicolor,,0,*0.957,0.043
15,2:Iris-versicolor,2:Iris-versicolor,,0,*0.97,0.03
1,3:Iris-virginica,3:Iris-virginica,,0,0.005,*0.995
2,3:Iris-virginica,3:Iris-virginica,,0,0.057,*0.943
3,3:Iris-virginica,3:Iris-virginica,,0,0.209,*0.791
4,3:Iris-virginica,2:Iris-versicolor,+,0,*0.832,0.168
5,3:Iris-virginica,3:Iris-virginica,,0,0.029,*0.971
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*0.995,0.005
12,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
13,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
14,2:Iris-versicolor,3:Iris-virginica,+,0,0.116,*0.884
15,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
1,3:Iris-virginica,3:Iris-virginica,,0,0.288,*0.712
2,3:Iris-virginica,3:Iris-virginica,,0,0.252,*0.748
3,3:Iris-virginica,2:Iris-versicolor,+,0,*0.674,0.326
4,3:Iris-virginica,3:Iris-virginica,,0,0.003,*0.997
5,3:Iris-virginica,3:Iris-virginica,,0,0.035,*0.965
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*1,0
12,2:Iris-versicolor,2:Iris-versicolor,,0,*0.732,0.268
13,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
14,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
15,2:Iris-versicolor,3:Iris-virginica,+,0,0.236,*0.764
1,3:Iris-virginica,3:Iris-virginica,,0,0.042,*0.958
2,3:Iris-virginica,3:Iris-virginica,,0,0.029,*0.971
3,3:Iris-virginica,3:Iris-virginica,,0,0.001,*0.999
4,3:Iris-virginica,3:Iris-virginica,,0,0.002,*0.998
5,3:Iris-virginica,3:Iris-virginica,,0,0.003,*0.997
6,1:Iris-setosa,1:Iris-setosa,,*1,0,0
7,1:Iris-setosa,1:Iris-setosa,,*1,0,0
8,1:Iris-setosa,1:Iris-setosa,,*1,0,0
9,1:Iris-setosa,1:Iris-setosa,,*1,0,0
10,1:Iris-setosa,1:Iris-setosa,,*1,0,0
11,2:Iris-versicolor,2:Iris-versicolor,,0,*0.993,0.007
12,2:Iris-versicolor,2:Iris-versicolor,,0,*0.901,0.099
13,2:Iris-versicolor,2:Iris-versicolor,,0,*0.937,0.063
14,2:Iris-versicolor,2:Iris-versicolor,,0,*0.999,0.001
15,2:Iris-versicolor,2:Iris-versicolor,,0,*0.901,0.099
